table,column,ours,pub,diff_abs,fail
A,E/P_1999,0.5899678063534889,0.5899678063534649,2.398081733190338e-14,FALSE
A,E/P_1999,0.812748634825037,0.8127486348250115,2.55351295663786e-14,FALSE
A,E/P_1999,0.8228439524338977,0.8228439524339048,7.105427357601002e-15,FALSE
A,E/P_1999,0.8046542723373449,0.8046542723373464,1.5543122344752192e-15,FALSE
A,E/P_1999,0.577315459224082,0.5773154592240781,3.885780586188048e-15,FALSE
A,E/P_1999,0.11949814732536236,0.1194981473253552,7.16093850883226e-15,FALSE
A,E/P_1999,0.725784601984246,0.725784601984239,6.994405055138486e-15,FALSE
A,E/P_1999,0.4426962049353492,0.4426962049353802,3.097522238704187e-14,FALSE
A,E/P_1999,0.6502944405014044,0.6502944405015225,1.1812772982011666e-13,FALSE
A,E/P_1999,0.7974077256523323,0.7974077256523304,1.887379141862766e-15,FALSE
A,E/P_1999,0.8349360360745326,0.8349360360745405,7.882583474838611e-15,FALSE
A,E/P_1999,0.8753233489887849,0.8753233489887493,3.5638159090467525e-14,FALSE
A,E/P_1999,0.6626779144987425,0.6626779144987875,4.5075054799781356e-14,FALSE
A,E/P_1999,0.8135272299332271,0.8135272299331961,3.097522238704187e-14,FALSE
A,E/P_1999,0.8449522293393884,0.8449522293393551,3.3306690738754696e-14,FALSE
A,E/P_1999,0.8794354347508085,0.8794354347508077,8.881784197001252e-16,FALSE
A,E/P_1999,0.594866518691627,0.5948665186917582,1.312283615106935e-13,FALSE
A,E/P_1999,0.7713120910481888,0.77131209104812,6.872280522429719e-14,FALSE
A,E/P_1999,0.8331842332214631,0.8331842332214294,3.3639757646142243e-14,FALSE
A,E/P_1999,0.8920223026175543,0.8920223026175415,1.2878587085651816e-14,FALSE
A,E/P_1999,0.4079230365449886,0.4079230365449572,3.141931159689193e-14,FALSE
A,E/P_1999,0.5543867565963193,0.5543867565962599,5.939693181744587e-14,FALSE
A,E/P_1999,0.6195430788107356,0.6195430788107403,4.773959005888173e-15,FALSE
A,E/P_1999,0.7096059834023155,0.7096059834023304,1.4876988529977098e-14,FALSE
A,E/P_1999,0.07097685133281119,0.07097685133284366,3.247402347028583e-14,FALSE
A,E/P_1999,0.11341349843462838,0.11341349843465771,2.933764342571976e-14,FALSE
A,E/P_1999,0.14367806637741537,0.1436780663774073,8.076872504148014e-15,FALSE
A,E/P_1999,0.20397600274946867,0.20397600274946884,1.6653345369377348e-16,FALSE
A,E/P_1999,0.6425323256072876,0.6425323256072866,9.992007221626409e-16,FALSE
A,E/P_2018,0.5045993266255826,0.5045993266255737,8.881784197001252e-15,FALSE
A,E/P_2018,0.7923652011376231,0.7923652011376282,5.10702591327572e-15,FALSE
A,E/P_2018,0.8039684449953173,0.8039684449953158,1.4432899320127035e-15,FALSE
A,E/P_2018,0.7849318468580195,0.7849318468580131,6.439293542825908e-15,FALSE
A,E/P_2018,0.6310115212452929,0.6310115212452958,2.886579864025407e-15,FALSE
A,E/P_2018,0.1892846241158827,0.18928462411588895,6.2450045135165055e-15,FALSE
A,E/P_2018,0.7046561537281906,0.7046561537281808,9.769962616701378e-15,FALSE
A,E/P_2018,0.32915021877267786,0.329150218772666,1.1879386363489175e-14,FALSE
A,E/P_2018,0.605938862964911,0.6059388629648691,4.18554080283684e-14,FALSE
A,E/P_2018,0.7384249451302775,0.7384249451302595,1.7985612998927536e-14,FALSE
A,E/P_2018,0.7955514369232303,0.7955514369232858,5.551115123125783e-14,FALSE
A,E/P_2018,0.8626649395299624,0.8626649395299449,1.7430501486614958e-14,FALSE
A,E/P_2018,0.6574458955647153,0.6574458955646834,3.197442310920451e-14,FALSE
A,E/P_2018,0.7515150623755098,0.7515150623754591,5.0737192225369654e-14,FALSE
A,E/P_2018,0.8110878424898622,0.8110878424898614,7.771561172376096e-16,FALSE
A,E/P_2018,0.867657948660827,0.8676579486607906,3.6415315207705135e-14,FALSE
A,E/P_2018,0.6168299828761188,0.6168299828762512,1.3244960683778118e-13,FALSE
A,E/P_2018,0.7344515639171997,0.7344515639171975,2.220446049250313e-15,FALSE
A,E/P_2018,0.7919432373953462,0.7919432373953379,8.326672684688674e-15,FALSE
A,E/P_2018,0.8636105446207734,0.8636105446207747,1.3322676295501878e-15,FALSE
A,E/P_2018,0.4525782289293907,0.4525782289293096,8.110179194886769e-14,FALSE
A,E/P_2018,0.5809047135063871,0.5809047135064043,1.7208456881689926e-14,FALSE
A,E/P_2018,0.628718609048028,0.6287186090480852,5.717648576819556e-14,FALSE
A,E/P_2018,0.737003390482608,0.7370033904826417,3.375077994860476e-14,FALSE
A,E/P_2018,0.10007031070044192,0.1000703107004417,2.220446049250313e-16,FALSE
A,E/P_2018,0.14702152546941671,0.14702152546943553,1.8818280267396403e-14,FALSE
A,E/P_2018,0.19834009706923003,0.19834009706926367,3.3639757646142243e-14,FALSE
A,E/P_2018,0.2648487274989526,0.2648487274989334,1.9206858326015208e-14,FALSE
A,E/P_2018,0.6042153388720055,0.6042153388719977,7.771561172376096e-15,FALSE
A,dEP_99_18,-0.08536847972790629,-0.0853684797278913,1.4988010832439613e-14,FALSE
A,dEP_99_18,-0.02038343368741391,-0.02038343368738349,3.042011087472929e-14,FALSE
A,dEP_99_18,-0.01887550743858046,-0.0188755074385889,8.441164434103143e-15,FALSE
A,dEP_99_18,-0.01972242547932534,-0.01972242547933345,8.108097526715596e-15,FALSE
A,dEP_99_18,0.05369606202121091,0.05369606202121768,6.772360450213455e-15,FALSE
A,dEP_99_18,0.06978647679052036,0.06978647679053379,1.3433698597964394e-14,FALSE
A,dEP_99_18,-0.02112844825605542,-0.0211284482560582,2.779027008514845e-15,FALSE
A,dEP_99_18,-0.11354598616267136,-0.11354598616271422,4.285460875053104e-14,FALSE
A,dEP_99_18,-0.04435557753649344,-0.044355577536653534,1.6009416015094757e-13,FALSE
A,dEP_99_18,-0.05898278052205485,-0.05898278052207084,1.599415044850616e-14,FALSE
A,dEP_99_18,-0.03938459915130232,-0.039384599151254696,4.762162886251531e-14,FALSE
A,dEP_99_18,-0.01265840945882257,-0.012658409458804254,1.831521045936313e-14,FALSE
A,dEP_99_18,-0.00523201893402713,-0.005232018934104188,7.705815152636575e-14,FALSE
A,dEP_99_18,-0.06201216755771732,-0.0620121675577372,1.987993103469421e-14,FALSE
A,dEP_99_18,-0.03386438684952619,-0.033864386849493555,3.2633618030075695e-14,FALSE
A,dEP_99_18,-0.01177748608998152,-0.011777486090017164,3.5643363260895455e-14,FALSE
A,dEP_99_18,0.0219634641844918,0.02196346418449302,1.2212453270876722e-15,FALSE
A,dEP_99_18,-0.03686052713098908,-0.036860527130922575,6.650235917504688e-14,FALSE
