table,cells,failures,max_abs
1A,174,0,1.6009416015094757e-13
1B,174,0,3.1818991885756986e-13
1C,174,0,2.2182949921401018e-13
2A,39,0,2.088122631388467e-6
2B,126,0,4.561275030012801e-6
