table,column,ours,pub,diff_abs,fail
C,E/P_1999,0.5695669344152888,0.5695669344152843,4.551914400963142e-15,FALSE
C,E/P_1999,0.7300577637614268,0.7300577637614375,1.0658141036401503e-14,FALSE
C,E/P_1999,0.7463502884603666,0.7463502884603532,1.3322676295501878e-14,FALSE
C,E/P_1999,0.7475663881548097,0.7475663881547978,1.1879386363489175e-14,FALSE
C,E/P_1999,0.5011008370950565,0.5011008370950376,1.887379141862766e-14,FALSE
C,E/P_1999,0.0865580223788755,0.08655802237885937,1.61259894326804e-14,FALSE
C,E/P_1999,0.6722063029052601,0.672206302905222,3.808064974464287e-14,FALSE
C,E/P_1999,0.4606374095730083,0.4606374095729894,1.892930256985892e-14,FALSE
C,E/P_1999,0.4701958704166649,0.4701958704166648,1.1102230246251565e-16,FALSE
C,E/P_1999,0.6974818437156474,0.6974818437156863,3.8968828164342995e-14,FALSE
C,E/P_1999,0.767079862106352,0.7670798621063619,9.880984919163893e-15,FALSE
C,E/P_1999,0.8237268445052967,0.8237268445052423,5.440092820663267e-14,FALSE
C,E/P_1999,0.5379800560506269,0.5379800560505555,7.138734048339757e-14,FALSE
C,E/P_1999,0.7357316303044238,0.7357316303044259,2.1094237467877974e-15,FALSE
C,E/P_1999,0.7841409550947536,0.7841409550946697,8.382183835919932e-14,FALSE
C,E/P_1999,0.8028933034964081,0.8028933034965072,9.914291609902648e-14,FALSE
C,E/P_1999,0.4940773357187806,0.4940773357189426,1.6198153929281034e-13,FALSE
C,E/P_1999,0.7161785783026768,0.7161785783026937,1.687538997430238e-14,FALSE
C,E/P_1999,0.7927123378221057,0.7927123378221586,5.284661597215745e-14,FALSE
C,E/P_1999,0.8444137057180242,0.8444137057180857,6.150635556423367e-14,FALSE
C,E/P_1999,0.3122508348770568,0.3122508348771584,1.0158540675320182e-13,FALSE
C,E/P_1999,0.49105345982339466,0.4910534598233221,7.255307465925398e-14,FALSE
C,E/P_1999,0.565725597509343,0.5657255975094146,7.16093850883226e-14,FALSE
C,E/P_1999,0.6326639308340013,0.6326639308339478,5.3512749786932545e-14,FALSE
C,E/P_1999,0.04745154023247719,0.04745154023247724,4.85722573273506e-17,FALSE
C,E/P_1999,0.09075705373054578,0.0907570537305912,4.542199949497672e-14,FALSE
C,E/P_1999,0.11469393075562374,0.11469393075571048,8.673617379884035e-14,FALSE
C,E/P_1999,0.13742482646731854,0.13742482646733933,2.0788926136106056e-14,FALSE
C,E/P_1999,0.5742974292007305,0.5742974292007624,3.197442310920451e-14,FALSE
C,E/P_2018,0.5033855332421369,0.5033855332421537,1.687538997430238e-14,FALSE
C,E/P_2018,0.7283592591187475,0.7283592591187544,6.8833827526759706e-15,FALSE
C,E/P_2018,0.7272629360893833,0.7272629360893869,3.552713678800501e-15,FALSE
C,E/P_2018,0.7273173904991177,0.7273173904991507,3.297362383136715e-14,FALSE
C,E/P_2018,0.5751828147662938,0.5751828147662851,8.770761894538737e-15,FALSE
C,E/P_2018,0.1540605428567818,0.1540605428567699,1.1907141939104804e-14,FALSE
C,E/P_2018,0.6797864680996586,0.679786468099612,4.6629367034256575e-14,FALSE
C,E/P_2018,0.360821180967832,0.360821180967798,3.397282455352979e-14,FALSE
C,E/P_2018,0.4320089890305163,0.432008989030738,2.216560268664125e-13,FALSE
C,E/P_2018,0.6284601274372047,0.6284601274372058,1.1102230246251565e-15,FALSE
C,E/P_2018,0.7376389040221611,0.7376389040222525,9.137135492665038e-14,FALSE
C,E/P_2018,0.8231213901188547,0.8231213901188512,3.4416913763379853e-15,FALSE
C,E/P_2018,0.4839571554639813,0.4839571554639784,2.942091015256665e-15,FALSE
C,E/P_2018,0.6457996880119901,0.6457996880121143,1.2423395645555502e-13,FALSE
C,E/P_2018,0.7447316883112314,0.7447316883111221,1.092459456231154e-13,FALSE
C,E/P_2018,0.8080449673754332,0.8080449673754406,7.438494264988549e-15,FALSE
C,E/P_2018,0.5050641968033242,0.5050641968035,1.758593271006248e-13,FALSE
C,E/P_2018,0.6589407354033954,0.658940735403356,3.941291737419306e-14,FALSE
C,E/P_2018,0.7444532048406381,0.7444532048407397,1.0158540675320182e-13,FALSE
C,E/P_2018,0.8137541695163468,0.8137541695163315,1.532107773982716e-14,FALSE
C,E/P_2018,0.34940578629800056,0.34940578629805763,5.706546346573305e-14,FALSE
C,E/P_2018,0.5184374138277981,0.5184374138278488,5.0737192225369654e-14,FALSE
C,E/P_2018,0.5894503536017289,0.5894503536017756,4.6629367034256575e-14,FALSE
C,E/P_2018,0.6835004885289668,0.6835004885290444,7.760458942129844e-14,FALSE
C,E/P_2018,0.07084515932918459,0.0708451593292654,8.081035840490358e-14,FALSE
C,E/P_2018,0.1208239733341004,0.12082397333410502,4.621303340002214e-15,FALSE
C,E/P_2018,0.16759562814927106,0.1675956281492315,3.95516952522712e-14,FALSE
C,E/P_2018,0.22655819686708395,0.22655819686703813,4.5824455341403336e-14,FALSE
C,E/P_2018,0.5488789982017476,0.5488789982017491,1.5543122344752192e-15,FALSE
C,dEP_99_18,-0.06618140117315197,-0.06618140117313054,2.142730437526552e-14,FALSE
C,dEP_99_18,-0.00169850464267928,-0.001698504642682952,3.6719759177739064e-15,FALSE
