series,failures,max_diff
epop16_24,0,7.652444000694203e-8
epop25_54,0,7.42506935935694e-8
epop55_64,0,7.024070025618556e-8
epop65,0,5.4266705240557656e-8
epop_all,0,7.819745817538859e-8
