factor,ours_pp,pub_pp,pp_diff,paper,fail
Import competition from China,0.9193493954404924,0.9193493954404913,1.1102230246251565e-15,0.92,FALSE
Adoption of industrial robots,0.4338609183408264,0.4338609183408337,7.271960811294775e-15,0.43,FALSE
"Increased receipt of disability benefits (SSDI, VADC)",0.1700744718190065,0.1700744694246481,2.3943584059882284e-9,0.17,FALSE
Higher minimum wages,0.1,0.1,0,0.1,FALSE
Increased rate of incarceration,0.11911417600153491,0.1191143212912786,1.4528974368044345e-7,0.12,FALSE
