year,gender,age,emp,pop,epop
1970,Male,55-64,6928,8590,0.8065192083818393
1971,Male,55-64,6916,8711,0.7939386981976811
1972,Male,55-64,6929,8895,0.7789769533445756
1973,Male,55-64,6857,8990,0.7627363737486096
1974,Male,55-64,6880,9140,0.7527352297592997
1975,Male,55-64,6722,9286,0.7238854189101874
1976,Male,55-64,6724,9444,0.7119864464210081
1977,Male,55-64,6848,9616,0.7121464226289518
1978,Male,55-64,6954,9758,0.7126460340233655
1979,Male,55-64,7015,9907,0.708085192288281
1980,Male,55-64,6999,10042,0.6969727145986855
1981,Male,55-64,6909,10151,0.680622598758743
1982,Male,55-64,6781,10215,0.6638277043563388
1983,Male,55-64,6686,10261,0.6515934119481532
1984,Male,55-64,6694,10285,0.6508507535245504
1985,Male,55-64,6753,10392,0.6498267898383372
1986,Male,55-64,6654,10336,0.6437693498452013
1987,Male,55-64,6682,10267,0.6508230252264536
1988,Male,55-64,6591,10193,0.6466202295693123
1989,Male,55-64,6548,10092,0.6488307570352755
1990,Male,55-64,6378,9778,0.6522806299856821
1991,Male,55-64,6245,9780,0.6385480572597138
1992,Male,55-64,6173,9776,0.6314443535188216
1993,Male,55-64,6166,9773,0.6309219277601555
1994,Male,55-64,6142,9810,0.6260958205912335
1995,Male,55-64,6272,9856,0.6363636363636364
1996,Male,55-64,6470,9997,0.6471941582474743
1997,Male,55-64,6735,10282,0.6550282046294496
1998,Male,55-64,7052,10649,0.6622218048643065
1999,Male,55-64,7274,11008,0.6607921511627907
2000,Male,55-64,7606,11583,0.6566519899853234
2001,Male,55-64,7900,11972,0.6598730370865352
2002,Male,55-64,8378,12641,0.6627640218337156
2003,Male,55-64,8733,13305,0.656369785794814
2004,Male,55-64,9174,13894,0.6602850151144379
2005,Male,55-64,9714,14502,0.6698386429458005
2006,Male,55-64,10192,15095,0.6751904604173568
2007,Male,55-64,10556,15658,0.6741601737131179
2008,Male,55-64,10919,16123,0.6772312845004032
2009,Male,55-64,10890,16698,0.6521739130434783
2010,Male,55-64,11140,17291,0.6442658030189116
2011,Male,55-64,11469,17810,0.6439640651319484
2012,Male,55-64,12068,18416,0.6552997393570807
2013,Male,55-64,12376,18751,0.6600181323662738
2014,Male,55-64,12762,19116,0.667608286252354
2015,Male,55-64,13092,19518,0.6707654472794343
2016,Male,55-64,13410,19867,0.6749886746866663
2017,Male,55-64,13710,20054,0.6836541338386357
2018,Male,55-64,14001,20263,0.6909638256921482
1965,Male,65+,2057,7649,0.2689240423584782
1966,Male,65+,2024,7723,0.26207432344943676
1967,Male,65+,2058,7809,0.263542066845947
1968,Male,65+,2093,7897,0.26503735595795874
1969,Male,65+,2122,7990,0.2655819774718398
1970,Male,65+,2094,8093,0.258742122822192
1971,Male,65+,2019,8208,0.2459795321637427
1972,Male,65+,1953,8330,0.23445378151260504
1973,Male,65+,1856,8426,0.2202705910277712
1974,Male,65+,1869,8641,0.21629441036917024
1975,Male,65+,1811,8852,0.2045865341165838
1976,Male,65+,1732,9053,0.19131779520600906
1977,Male,65+,1761,9297,0.1894159406260084
1978,Male,65+,1855,9509,0.1950783468293196
1979,Male,65+,1876,9746,0.19248922634927149
1980,Male,65+,1835,9979,0.18388616093796972
1981,Male,65+,1812,10170,0.17817109144542773
1982,Male,65+,1776,10371,0.17124674573329476
1983,Male,65+,1770,10573,0.167407547526719
1984,Male,65+,1703,10788,0.1578605858361142
1985,Male,65+,1695,11084,0.1529231324431613
1986,Male,65+,1753,11347,0.15449017361417114
1987,Male,65+,1850,11632,0.15904401650618982
1988,Male,65+,1911,11859,0.16114343536554515
1989,Male,65+,1968,12134,0.1621888907202901
1990,Male,65+,1909,12049,0.15843638476222094
1991,Male,65+,1860,12254,0.15178717153582505
1992,Male,65+,1943,12496,0.1554897567221511
1993,Male,65+,1916,12717,0.15066446488951796
1994,Male,65+,2089,12918,0.1617123393714197
1995,Male,65+,2108,13130,0.16054836252856056
1996,Male,65+,2172,13327,0.1629774142717791
1997,Male,65+,2229,13469,0.1654911277748905
1998,Male,65+,2171,13613,0.15947990891060015
1999,Male,65+,2263,13779,0.1642354307279193
2000,Male,65+,2406,14037,0.1714041461850823
2001,Male,65+,2437,14155,0.17216531261038504
2002,Male,65+,2455,14233,0.1724864750930935
2003,Male,65+,2585,14496,0.17832505518763797
2004,Male,65+,2683,14684,0.18271588123127214
2005,Male,65+,2857,14944,0.19118040685224838
2006,Male,65+,3008,15219,0.19764767724554833
2007,Male,65+,3080,15525,0.19838969404186796
2008,Male,65+,3282,16002,0.20509936257967754
2009,Male,65+,3357,16414,0.20452053125380773
2010,Male,65+,3439,16769,0.20508080386427335
2011,Male,65+,3730,17474,0.21345999771088475
2012,Male,65+,4077,18422,0.22131147540983606
2013,Male,65+,4257,19189,0.22184584918442857
2014,Male,65+,4377,19967,0.21921169930385134
2015,Male,65+,4661,20717,0.2249843124004441
2016,Male,65+,4948,21448,0.23069750093248786
2017,Male,65+,5111,22151,0.23073450408559432
2018,Male,65+,5348,22988,0.23264311814859928
1965,Male,All ages,46340,59779,0.7751886113852691
1966,Male,All ages,46921,60259,0.7786554705521167
1967,Male,All ages,47479,60902,0.7795967291714557
1968,Male,All ages,48114,61846,0.7779646218025418
1969,Male,All ages,48819,62895,0.7761984259480086
1970,Male,All ages,48990,64301,0.7618855072238379
1971,Male,All ages,49391,65937,0.749063500007583
1972,Male,All ages,50896,67831,0.7503353923722192
1973,Male,All ages,52347,69289,0.755487884079724
1974,Male,All ages,53026,70804,0.7489124908197277
1975,Male,All ages,51854,72293,0.7172755315175743
1976,Male,All ages,53137,73759,0.7204137800132865
1977,Male,All ages,54729,75190,0.7278760473467216
1978,Male,All ages,56479,76577,0.7375452159264531
1979,Male,All ages,57607,78019,0.7383714223458389
1980,Male,All ages,57186,79398,0.7202448424393562
1981,Male,All ages,57397,80511,0.7129087950714809
1982,Male,All ages,56271,81524,0.6902384573867818
1983,Male,All ages,56787,82532,0.6880603886977172
1984,Male,All ages,59091,83606,0.7067794177451379
1985,Male,All ages,59890,84470,0.7090091156623654
1986,Male,All ages,60892,85798,0.7097135131355043
1987,Male,All ages,62106,86900,0.7146835443037974
1988,Male,All ages,63272,87857,0.720170276699637
1989,Male,All ages,64315,88763,0.7245699221522481
1990,Male,All ages,65105,90378,0.7203633627652747
1991,Male,All ages,64222,91279,0.7035791364936075
1992,Male,All ages,64440,92269,0.69839274295809
1993,Male,All ages,65350,93332,0.7001885741224875
1994,Male,All ages,66449,94354,0.7042520719842296
1995,Male,All ages,67378,95178,0.707915694803421
1996,Male,All ages,68207,96206,0.7089682556181527
1997,Male,All ages,69685,97716,0.713138073601048
1998,Male,All ages,70694,98758,0.7158306162538731
1999,Male,All ages,71447,99722,0.7164617637030946
2000,Male,All ages,73306,101964,0.7189400180455847
2001,Male,All ages,73197,103282,0.7087101334211189
2002,Male,All ages,72904,104586,0.6970722658864476
2003,Male,All ages,73332,106436,0.6889774136570334
2004,Male,All ages,74524,107710,0.6918949029802247
2005,Male,All ages,75975,109152,0.6960477132805629
2006,Male,All ages,77502,110605,0.7007097328330546
2007,Male,All ages,78255,112173,0.6976277713888369
2008,Male,All ages,77486,113112,0.6850378386024472
2009,Male,All ages,73669,114136,0.6454492885680241
2010,Male,All ages,73359,115173,0.6369461592560757
2011,Male,All ages,74290,116318,0.6386801698791245
2012,Male,All ages,75556,117344,0.6438846468502863
2013,Male,All ages,76353,118557,0.6440193324729877
2014,Male,All ages,77694,119748,0.6488125062631526
2015,Male,All ages,79132,121102,0.6534326435566712
2016,Male,All ages,80568,122498,0.6577086972848536
2017,Male,All ages,81402,123275,0.6603285337659703
2018,Male,All ages,82699,124678,0.663300662506617
